Date_2,Trade,Cost Category,"Cost
Code",Description,Actual Cost
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Jaafar tech",0
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S First Security Group",0
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S KBEC","-119,439.60"
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Gospel International","-26,599.25"
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Golden Oasis",-784
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Mohamed Saeewad","27,562.00"
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
Al Madah","-69,919.00"
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Global Classis","42,098.50"
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Abacas","98,587.00"
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Rabiee Al Awal","25,447.50"
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Helix International",0
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Peter Sebastian",0
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Theeram Star","4,850.00"
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Sahel Al Fasht",0
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Attune Technical",0
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Controls ME",0
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Batal Al Madina",0
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Dynamo Electro.",0
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Noor Jazan",0
1/9/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Eagle Hunter",0
1/9/2018,Electrical,Site Labour,7403,Electrical Labour,"120,786.99"
1/9/2018,General,Site Labour,7808,Labour Accommodation,"248,491.32"
1/9/2018,General,Site Labour,7850,Vacation - Labour,"6,894.23"
1/9/2018,General,Site Labour,7851,Sick Leave - Labour,677.88
1/9/2018,General,Site Labour,7854,Public Holiday - Labour,"1,785.16"
1/9/2018,General,Site Misc,7500,Fire Stopping,0
1/9/2018,General,Site Misc,7501,Testing and Commissioning,"343,282.59"
1/9/2018,General,Site Misc,7502,Painting and Identification,0
1/9/2018,General,Site Misc,7504,Miscellaneous Items,0
1/9/2018,General,Site Misc,7505,Consumables,"85,559.59"
1/9/2018,General,Site Misc,7506,Supports for MEP Equipment,"123,707.88"
1/9/2018,General,Site Misc,7606,Personal Protective Equipment (PPE),0
1/9/2018,General,Site Misc,7906,Material/Cost Transfer,"558,171.68"
1/9/2018,General,Site Misc,DLP,Defect Liability Period,0
1/9/2018,General,Design and Drafting,6000,Design Drafting Combined,"31,587.95"
1/9/2018,Mechanical,Design and Drafting,6301,Design Drafting Mechanical,0
1/9/2018,Mechanical,Design and Drafting,6300,Design Engineering Mechanical,0
1/9/2018,Mechanical,Design and Drafting,7030,Shop Drawings Engineering Mechanical,0
1/9/2018,Mechanical,Design and Drafting,7031,Shop Drawings Drafting Mechanical,0
1/9/2018,Plumbing & Drainage,Design and Drafting,6100,Design Engineering Plumbing,"1,884.01"
1/9/2018,Plumbing & Drainage,Design and Drafting,7011,Shop Drawings Drafting Plumbing & Drainage,0
1/9/2018,Fire Fighting,Design and Drafting,6201,Design Drafting Fire,132.21
1/9/2018,Fire Fighting,Design and Drafting,7021,Shop Drawings Drafting Fire,0
1/9/2018,Electrical,Design and Drafting,6400,Design Engineering Electrical,"17,692.31"
1/9/2018,Electrical,Design and Drafting,6401,Design Drafting Electrical,0
1/9/2018,Electrical,Design and Drafting,7040,Shop Drawings Engineering Electrical,0
1/9/2018,Electrical,Design and Drafting,7041,Shop Drawings Drafting Electrical,0
1/9/2018,General,Design and Drafting,6526,Design Drafting - Module,0
1/9/2018,General,Design and Drafting,6700,As Built Drawings,"12,587.14"
1/9/2018,General,Design and Drafting,7076,Site - Drafting,0
1/9/2018,General,Design and Drafting,6801,Tender Design,0
1/9/2018,General,Design and Drafting,7004,Shop Drawing Miscellaneous,"2,569.11"
1/9/2018,General,Design and Drafting,7075,"Shop Drawings Coordination, Builder Work","6,012.62"
1/9/2018,General,Design and Drafting,6500,Authority Submissions - Design,0
1/9/2018,General,Design and Drafting,6525,Design Coordination Work,0
1/9/2018,General,Design and Drafting,6550,Design Consultancy,0
1/9/2018,General,Design and Drafting,6515,Consultancy - Piping,0
1/9/2018,General,Design and Drafting,7080,Vacation - Design,"1,201.92"
1/9/2018,General,Design and Drafting,7081,Sick Leave - Design,721.15
1/9/2018,General,Design and Drafting,7084,Public Holiday - Design,"2,764.42"
1/9/2018,General,Site Admin,7000,Site Management Cost,"109,470.21"
1/9/2018,General,Site Admin,7001,Procurement & Subcontractor Management,"48,640.78"
1/9/2018,Plumbing & Drainage,Site Admin,7100,Plumbing & Drainage Site Engineering,"-6,000.00"
1/9/2018,Plumbing & Drainage,Site Admin,7101,Plumbing Supervisors,0
1/9/2018,Plumbing & Drainage,Site Admin,7102,Plumbing Foreman,"1,879.97"
1/9/2018,Mechanical,Site Admin,7300,Mechanical Site Engineering,"73,392.60"
1/9/2018,Mechanical,Site Admin,7301,Mechanical Supervisors,"31,953.99"
1/9/2018,Mechanical,Site Admin,7302,Mechanical Foreman,"6,258.62"
1/9/2018,Electrical,Site Admin,7400,Electrical Site Engineering,"176,282.12"
1/9/2018,Electrical,Site Admin,7401,Electrical Supervisors,"46,023.17"
1/9/2018,Electrical,Site Admin,7402,Electrical Foreman,"10,580.59"
1/9/2018,Electrical,Site Admin,7406,Telecom Engineer,"11,554.38"
1/9/2018,General,Site Admin,7501,Testing and Commissioning,0
1/9/2018,General,Site Admin,7600,QA/QC,"2,886.07"
1/9/2018,General,Site Admin,7601,Planning,"35,631.79"
1/9/2018,General,Site Admin,7602,HSE - Staff,"95,755.71"
1/9/2018,General,Site Admin,7603,QS,"50,734.57"
1/9/2018,General,Site Admin,7700,Material Submittals,"2,716.76"
1/9/2018,General,Site Admin,7800,Site Administration Staff,"143,357.57"
1/9/2018,General,Site Admin,7803,Site IT - Staff,"-49,539.87"
1/9/2018,General,Site Admin,7807,Staff Accommodation,"15,554.47"
1/9/2018,General,Site Admin,7809,Site Staff Transportation - Staff,"12,305.97"
1/9/2018,General,Site Admin,7910,Site Store Staff,0
1/9/2018,General,Site Admin,,Staff Cost - VO SOPR,0
1/9/2018,General,Site Admin,,Staff Cost - DLP,0
1/9/2018,General,Site Admin,7860,Vacation - Site Staff,0
1/9/2018,General,Site Admin,7861,Sick Leave - Site Staff,0
1/9/2018,General,Site Admin,7863,Compassionate Leave - Site Staff,0
1/9/2018,General,Site Admin,7864,Public Holiday - Site Staff,0
1/9/2018,General,Site Admin,7602,HSE Related Items,"54,548.08"
1/9/2018,General,Site Admin,7801,Site Office Rentals and Running Cost,0
1/9/2018,General,Site Admin,7802,Site Establishment Works,"10,038.00"
1/9/2018,General,Site Admin,7803,Site IT Related Items,"51,332.29"
1/9/2018,General,Site Admin,7804,"Site Electricity, Telecom, Internet",0
1/9/2018,General,Site Admin,7805,Material Transport (Trucks),"14,536.26"
1/9/2018,General,Site Admin,7806,Site Stationery,"10,076.98"
1/9/2018,General,Site Admin,7809,Site Staff Transportation - Related Items,"98,624.44"
1/9/2018,General,Site Admin,7810,Site Furniture,0
1/9/2018,General,Site Admin,7811,Staff Meals,220.9
1/9/2018,General,Site Admin,7812,General,"-8,298.97"
1/9/2018,General,Site Admin,7816,Staff Fuel Reimbursement,"1,308.68"
1/9/2018,General,Site Admin,7900,Tools and Machinery Rentals - Outside,"3,594.93"
1/9/2018,General,Site Admin,7901,Tools and Machinery Rentals - JLW,0
1/9/2018,General,Site Admin,EST,Estimatte To Commit - Staff,0
1/9/2018,General,Site Admin,VO,Prelims Variation Budget,0
1/9/2018,General,Site Admin,REC,Reconciliation with Staff Histogram,0
1/9/2018,General,Main Office,8000, Management cost,0
1/9/2018,General,Main Office,8001,Client Relation Costs,0
1/9/2018,General,Main Office,8003,Office Relation Costs (Estimation & Cost Control),0
1/9/2018,General,Main Office,8100,Head Office Administration,0
1/9/2018,General,Main Office,8103,Staff Accommodation,0
1/9/2018,General,Main Office,8104,Staff Training,0
1/9/2018,General,Main Office,8105,Staff Transportation,0
1/9/2018,General,Main Office,8107,IT,0
1/9/2018,General,Main Office,8109,"HO Electricity, Telecom, Internet",0
1/9/2018,General,Main Office,8112,Vacation,0
1/9/2018,General,Main Office,8113,Sick Leave,0
1/9/2018,General,Main Office,8116,Finance charges,0
1/9/2018,General,Main Office,8200,Banking charges,0
1/9/2018,General,Main Office,8201,Contract Insurances,0
1/9/2018,General,Main Office,8202,Gurantees and Bonds,"4,083.33"
1/9/2018,General,Main Office,8203,LC Charges,"-6,174.78"
1/9/2018,General,Main Office,8206,Public Holiday,0
1/9/2018,General,Main Office,8221,Legal Charges,0
1/9/2018,General,Main Office,8117,Project Specific - Provision For Doubtful Debts,"994,753.33"
1/9/2018,Plumbing & Drainage,Tools and Machinery,9000,Plumbers Tool Box,0
1/9/2018,Electrical,Tools and Machinery,9001,Electrician Tool Box,0
1/9/2018,Mechanical,Tools and Machinery,9002,Mechanical Tool Box,0
1/9/2018,General,Tools and Machinery,9003,Drilling Machines,"17,572.90"
1/9/2018,Mechanical,Tools and Machinery,9006,Pipe Pressure Testing Equipment,0
1/9/2018,Plumbing & Drainage,Tools and Machinery,9008,HDPE Pipe Joiner,0
1/9/2018,General,Tools and Machinery,9009,Welding Machine,0
1/9/2018,General,Tools and Machinery,9012,Box Spanner Sets,0
1/9/2018,Electrical,Tools and Machinery,9015,Cable Pulling Machine,0
1/9/2018,General,Tools and Machinery,9016,Cutting and Chasing,0
1/9/2018,Electrical,Tools and Machinery,9019,Cable Crimping Tool,0
1/9/2018,General,Tools and Machinery,9020,"Mobile Scaffolds, Ladders","23,866.93"
1/9/2018,General,Tools and Machinery,9022,Megger,0
1/9/2018,General,Tools and Machinery,9023,Multi Meter,0
1/9/2018,Electrical,Tools and Machinery,9025,Earth Leakage Tester,0
1/9/2018,Electrical,Tools and Machinery,9028,Lux meter,0
1/9/2018,Electrical,Tools and Machinery,9031,Conduit Bending Machine,"1,197.75"
1/9/2018,General,Tools and Machinery,9100,Two Cabin Pick Up,"-5,886.98"
1/9/2018,General,Tools and Machinery,9101,Car,0
1/9/2018,General,Tools and Machinery,9102,Mini Bus,"-1,076.01"
1/9/2018,General,Tools and Machinery,9103,Bus,"-5,729.55"
1/9/2018,General,Tools and Machinery,9105,Pic Up - 3 Ton,"1,265.34"
1/9/2018,General,Tools and Machinery,9106,Tools and Machinery (General),"16,886.11"
1/10/2018,Plumbing & Drainage,Materials_PD,2000,UPVC Pressure Pipes and Fittings,"16,069.57"
1/10/2018,Plumbing & Drainage,Materials_PD,2004,HDPE Pipes and Fittings,"116,705.69"
1/10/2018,Plumbing & Drainage,Materials_PD,2005,PEX Pipes and Fittings,"-4,006.59"
1/10/2018,Plumbing & Drainage,Materials_PD,2006,PPR Pipes and Fittings,"32,596.57"
1/10/2018,Plumbing & Drainage,Materials_PD,2011,Acoustic Pipe Insulation,"-2,448.00"
1/10/2018,Plumbing & Drainage,Materials_PD,2020,Drainage Accessories,0
1/10/2018,Plumbing & Drainage,Materials_PD,2021,"Grease, Oil Interceptors",0
1/10/2018,Plumbing & Drainage,Materials_PD,2023,Manhole Covers,0
1/10/2018,Plumbing & Drainage,Materials_PD,2030,Potable Water Pumps and Accessories,0
1/10/2018,Plumbing & Drainage,Materials_PD,2031,Sump Pumps and Accessories,0
1/10/2018,Plumbing & Drainage,Materials_PD,2033,Sewage Pumps and Accessories,0
1/10/2018,Plumbing & Drainage,Materials_PD,2040,Water Tanks,0
1/10/2018,Plumbing & Drainage,Materials_PD,2041,Water Tank Fittings,0
1/10/2018,Plumbing & Drainage,Materials_PD,2043,Puddle Flanges,0
1/10/2018,Plumbing & Drainage,Materials_PD,2053,Electric Water Heaters,0
1/10/2018,Plumbing & Drainage,Materials_PD,2055,Heat Exchangers,0
1/10/2018,Plumbing & Drainage,Materials_PD,2060,Valves for Water Supply System,0
1/10/2018,Plumbing & Drainage,Materials_PD,2061,Gauges and Instruments,0
1/10/2018,Plumbing & Drainage,Materials_PD,2070,Sanitary Ware,"368,887.85"
1/10/2018,Plumbing & Drainage,Materials_PD,2081,Filtration Unit,0
1/10/2018,Plumbing & Drainage,Materials_PD,2090,Sterilization of Domestic Pipes - Dis-infection,0
1/10/2018,HVAC,Materials_HVAC,4001,Chilled Water Piping,"103,354.91"
1/10/2018,HVAC,Materials_HVAC,4002,Chilled Water Pipe Insulation,"17,142.60"
1/10/2018,HVAC,Materials_HVAC,4003,Chilled Water Valves,"1,912.26"
1/10/2018,HVAC,Materials_HVAC,4006,Refrigerant Pipes and Accessories,-39.38
1/10/2018,HVAC,Materials_HVAC,4008,Preinsulated Pipes and Fittings,-2.69
1/10/2018,HVAC,Materials_HVAC,4010,GI Duct and Accessories,"133,587.88"
1/10/2018,HVAC,Materials_HVAC,4013,MS Duct and Accessories,"169,129.70"
1/10/2018,HVAC,Materials_HVAC,4014,Duct Insulation,"43,068.46"
1/10/2018,HVAC,Materials_HVAC,4016,Fire Rated Duct Work,"108,565.46"
1/10/2018,HVAC,Materials_HVAC,4018,MSFD/MSD/MVD,"403,926.38"
1/10/2018,HVAC,Materials_HVAC,4020,Fire Dampers/ Smoke Dampers,"10,563.00"
1/10/2018,HVAC,Materials_HVAC,4021,Volume control Dampers/ Non Return Dampers,"71,067.05"
1/10/2018,HVAC,Materials_HVAC,4022,VAV/CAV,0
1/10/2018,HVAC,Materials_HVAC,4025,Sand Trap Louvers,150.97
1/10/2018,HVAC,Materials_HVAC,4026,Sound Attenuators,"187,324.00"
1/10/2018,HVAC,Materials_HVAC,4027,Grilles and Diffusers,"59,910.19"
1/10/2018,HVAC,Materials_HVAC,4031,Heat Exchangers,0
1/10/2018,HVAC,Materials_HVAC,4036,Chemical Dosing Pot,"34,500.00"
1/10/2018,HVAC,Materials_HVAC,4040,Air Handling Units,0
1/10/2018,HVAC,Materials_HVAC,4042,Fan Coil Unit,0
1/10/2018,HVAC,Materials_HVAC,4043,Split Units,"51,000.00"
1/10/2018,HVAC,Materials_HVAC,4044,CCU,0
1/10/2018,HVAC,Materials_HVAC,4050,Fans,0
1/10/2018,HVAC,Materials_HVAC,4051,Ecology Units,"971,585.53"
1/10/2018,HVAC,Materials_HVAC,4080,Pressure Gauges / Temperature Gauges,0
1/10/2018,HVAC,Materials_HVAC,4081,Vibration Isolators,"3,121.74"
1/10/2018,HVAC,Materials_HVAC,4100,Flushing & Cleaning the System,"312,375.00"
1/10/2018,Electrical,Materials_EL,5001,Cable Ducts,"-16,288.36"
1/10/2018,Electrical,Materials_EL,5002,Conduits,"1,011.60"
1/10/2018,Electrical,Materials_EL,5004,Cable Trunking,"132,521.03"
1/10/2018,Electrical,Materials_EL,5005,"Cable Trays, Ladders, Baskets","186,251.73"
1/10/2018,Electrical,Materials_EL,5006,GI Conduits,"13,384.56"
1/10/2018,Electrical,Materials_EL,5003,Lightning Protection and Earthing,0
1/10/2018,Electrical,Materials_EL,5010,Single Core Wires,"652,599.47"
1/10/2018,Electrical,Materials_EL,5011,LV Cables,"643,245.59"
1/10/2018,Electrical,Materials_EL,5012,LV Cable Terminations,0
1/10/2018,Electrical,Materials_EL,5013,Bus Ducts,"49,070.39"
1/10/2018,Electrical,Materials_EL,5015,Fire Rated Cables,"669,032.18"
1/10/2018,Electrical,Materials_EL,5020,LV Switchboards,"11,034.00"
1/10/2018,Electrical,Materials_EL,5021,Capacitor Banks & Active Harmonic Filters,0
1/10/2018,Electrical,Materials_EL,5022,Automatic Transfer Switches,0
1/10/2018,Electrical,Materials_EL,5023,Submain Distribution Boards,"6,400.00"
1/10/2018,Electrical,Materials_EL,5024,Motor Control Centre,0
1/10/2018,Electrical,Materials_EL,5025,Distribution Boards,0
1/10/2018,Electrical,Materials_EL,5026,"Control Panels, Motor Starters","1,400.00"
1/10/2018,Electrical,Materials_EL,5027,"KWH Meters, Intelligent Metering",0
1/10/2018,Electrical,Materials_EL,5028,UPS,0
1/10/2018,Electrical,Materials_EL,5030,Back of House Lighting,"80,679.05"
1/10/2018,Electrical,Materials_EL,5031,Front of House Lighting,0
1/10/2018,Electrical,Materials_EL,5034,External Lghting Luminaires,"682,821.30"
1/10/2018,Electrical,Materials_EL,5036,Intelligent Lighting Controls,0
1/10/2018,Electrical,Materials_EL,5037,Emergency Lighting,0
1/10/2018,Electrical,Materials_EL,5038,EM wiring,"81,585.00"
1/10/2018,Electrical,Materials_EL,5039,"Lighting Wiring Accessories (Ceiling Roses, Switches, PC)",-141
1/10/2018,Electrical,Materials_EL,5040,Isolators,"18,035.64"
1/10/2018,Electrical,Materials_EL,5041,Wiring Devices,"53,343.68"
1/10/2018,Electrical,Materials_EL,5042,Floor Boxes,"1,390.64"
1/10/2018,Electrical,Materials_EL,5050,Generator,"15,644.94"
1/10/2018,Electrical,Materials_EL,5052,"Generators - Fuel System (Tanks, Pumps, Piping, Controls)",0
1/10/2018,Electrical,Materials_EL,5053,Generator Room Accessories,0
1/10/2018,Electrical,Materials_EL,5080,Fire Detection and Alarm System,0
1/10/2018,Electrical,Materials_EL,5081,FA Wiring,"154,875.00"
1/10/2018,Electrical,Materials_EL,5082,Disabled Alarm Panel,"3,550.28"
1/10/2018,Electrical,Materials_EL,5090,Public Address System,0
1/10/2018,Electrical,Materials_EL,5127,Wi-Fi,0
1/10/2018,Electrical,Materials_EL,5141,Building Management System wiring,"17,419.50"
1/10/2018,Electrical,Materials_EL,5143,Parking Management system,"249,750.00"
1/10/2018,Electrical,Materials_EL,5145,Leak Detection System,0
1/10/2018,LPG,Subcontractor,2700,Subcontract - LPG system,0
1/10/2018,Plumbing & Drainage,Subcontractor,2701,"Subcontract - Plumbing
M/S Hills and Fort Construction",0
1/10/2018,Fire Fighting,Subcontractor,3700,Subcontract - Fire Fighting,0
1/10/2018,HVAC,Subcontractor,4703,Subcontracts - Aluminium Cladding for Mechanical Duct and Pipes,0
1/10/2018,HVAC,Subcontractor,4715,Module - HVAC,"85,575.09"
1/10/2018,Electrical,Subcontractor,5703,Subcontract - FA & EM Lighting,"36,547.80"
1/10/2018,Electrical,Subcontractor,5705,Subcontract - Security System,"1,910,680.38"
1/10/2018,Electrical,Subcontractor,5707,Subcontract - A/V System,0
1/10/2018,Electrical,Subcontractor,5708,Subcontract - Structured Cabling (Including Materials),0
1/10/2018,Electrical,Subcontractor,5140,Building Management System & Controls,0
1/10/2018,Electrical,Subcontractor,5140,BMS Installation Works,0
1/10/2018,Plumbing & Drainage,Site Labour,7105,"Plumbing and Drainage Labour - Hire
M/S KBEC",0
1/10/2018,Plumbing & Drainage,Site Labour,7105,"Plumbing and Drainage Labour - Hire
M/S Gospel","65,141.50"
1/10/2018,Plumbing & Drainage,Site Labour,7105,"Plumbing and Drainage Labour - Hire
M/S Delight Home",0
1/10/2018,Plumbing & Drainage,Site Labour,7103,Plumbing & Drainage Labour,"69,207.01"
1/10/2018,Mechanical,Site Labour,4700,"Subcontract - Duct work
M/S Al Qalaa",0
1/10/2018,Mechanical,Site Labour,4700,"Subcontract - Duct work
M/S Strong Tech",0
1/10/2018,Mechanical,Site Labour,4700,"Subcontract - Duct work
M/S Quality Line",0
1/10/2018,Mechanical,Site Labour,4701,"Subcontract - CHWP & ME Equip Inst'n.
M/S Al Rafa",0
1/10/2018,Mechanical,Site Labour,4701,"Subcontract - CHWP & ME Equip Inst'n.
M/S Jaafar",0
1/10/2018,Mechanical,Site Labour,4701,"Subcontract - CHWP & ME Equip Inst'n.
M/S Jaafar - VO-001 Tiger Steel Beam",0
1/10/2018,Mechanical,Site Labour,4701,"Subcontract - CHWP & ME Equip Inst'n.
M/S Reyah",0
1/10/2018,Mechanical,Site Labour,4701,"Subcontract - CHWP & ME Equip Inst'n.
M/S Reyah -  VO-002",0
1/10/2018,Mechanical,Site Labour,4701,"Subcontract - CHWP & ME Equip Inst'n.
M/S Reyah -  VO-030",0
1/10/2018,Mechanical,Site Labour,4701,"Subcontract - CHWP & ME Equip Inst'n.
M/S Cool Line",0
1/10/2018,Mechanical,Site Labour,4701,"Subcontract - CHWP & ME Equip Inst'n.
M/S Al Burj Al Daieri",0
1/10/2018,Mechanical,Site Labour,7305,"Mechanical Labour - Hire
M/S KBEC",0
1/10/2018,Mechanical,Site Labour,7305,"Mechanical Labour - Hire
M/S Reyah (Welders)",0
1/10/2018,Mechanical,Site Labour,7305,"Mechanical Labour - Hire
M/S Noor Al F. (Module Installation)",0
1/10/2018,Mechanical,Site Labour,7305,"Mechanical Labour - Hire
M/S Rabiee Al Awal","3,532.50"
1/10/2018,Mechanical,Site Labour,7305,"Mechanical Labour - Hire
M/S Batal Al Madina",0
1/10/2018,Mechanical,Site Labour,7305,"Mechanical Labour - Hire
M/S Delight Home",0
1/10/2018,Mechanical,Site Labour,7305,"Mechanical Labour - Hire
M/S Jaafar - Welder",0
1/10/2018,Mechanical,Site Labour,7303,Mechanical Labour,"71,937.34"
1/10/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Arbab Shams",0
1/10/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Eram",0
1/10/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Bareeq","68,563.51"
1/10/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Bareeq - VO-009","2,160.00"
1/10/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Bareeq - VO-039",0
1/10/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Dome",0
1/10/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Dome - VO-004",0
1/10/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Indicator",0
1/10/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Blue Lantern",0
1/10/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Najm Al Lail",0
1/10/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Nimbus Delicate",0
1/10/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Nimbus Delicate - VO-005",0
1/10/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Nimbus Delicate - VO-015",0
1/10/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Nimbus Delicate - VO-043",0
1/10/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S KBEC",0
1/10/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Golden Key",0
1/10/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Gul Muhammad",0
1/10/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S MW Networks",0
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Jaafar tech",0
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S First Security Group",0
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S KBEC",0
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Gospel International","505,810.25"
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Golden Oasis",0
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Mohamed Saeewad",0
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
Al Madah","213,505.00"
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Global Classis",0
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Abacas","1,404.00"
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Rabiee Al Awal","38,750.50"
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Helix International",0
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Peter Sebastian","17,318.00"
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Theeram Star","63,208.50"
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Sahel Al Fasht",0
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Attune Technical",0
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Controls ME",0
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Batal Al Madina",0
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Dynamo Electro.",0
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Noor Jazan",0
1/10/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Eagle Hunter",0
1/10/2018,Electrical,Site Labour,7403,Electrical Labour,"48,563.03"
1/10/2018,General,Site Labour,7808,Labour Accommodation,"165,120.01"
1/10/2018,General,Site Labour,7850,Vacation - Labour,"14,158.00"
1/10/2018,General,Site Labour,7851,Sick Leave - Labour,"4,050.48"
1/10/2018,General,Site Labour,7854,Public Holiday - Labour,0
1/10/2018,General,Site Misc,7500,Fire Stopping,0
1/10/2018,General,Site Misc,7501,Testing and Commissioning,"-343,282.59"
1/10/2018,General,Site Misc,7502,Painting and Identification,"62,154.23"
1/10/2018,General,Site Misc,7504,Miscellaneous Items,0
1/10/2018,General,Site Misc,7505,Consumables,"140,935.20"
1/10/2018,General,Site Misc,7506,Supports for MEP Equipment,"165,253.79"
1/10/2018,General,Site Misc,7606,Personal Protective Equipment (PPE),"21,311.33"
1/10/2018,General,Site Misc,7906,Material/Cost Transfer,0
1/10/2018,General,Site Misc,DLP,Defect Liability Period,0
1/10/2018,General,Design and Drafting,6000,Design Drafting Combined,"24,396.10"
1/10/2018,Mechanical,Design and Drafting,6301,Design Drafting Mechanical,0
1/10/2018,Mechanical,Design and Drafting,6300,Design Engineering Mechanical,0
1/10/2018,Mechanical,Design and Drafting,7030,Shop Drawings Engineering Mechanical,0
1/10/2018,Mechanical,Design and Drafting,7031,Shop Drawings Drafting Mechanical,0
1/10/2018,Plumbing & Drainage,Design and Drafting,6100,Design Engineering Plumbing,"9,188.70"
1/10/2018,Plumbing & Drainage,Design and Drafting,7011,Shop Drawings Drafting Plumbing & Drainage,0
1/10/2018,Fire Fighting,Design and Drafting,6201,Design Drafting Fire,892.43
1/10/2018,Fire Fighting,Design and Drafting,7021,Shop Drawings Drafting Fire,0
1/10/2018,Electrical,Design and Drafting,6400,Design Engineering Electrical,"43,013.82"
1/10/2018,Electrical,Design and Drafting,6401,Design Drafting Electrical,0
1/10/2018,Electrical,Design and Drafting,7040,Shop Drawings Engineering Electrical,0
1/10/2018,Electrical,Design and Drafting,7041,Shop Drawings Drafting Electrical,0
1/10/2018,General,Design and Drafting,6526,Design Drafting - Module,0
1/10/2018,General,Design and Drafting,6700,As Built Drawings,"13,819.11"
1/10/2018,General,Design and Drafting,7076,Site - Drafting,0
1/10/2018,General,Design and Drafting,6801,Tender Design,0
1/10/2018,General,Design and Drafting,7004,Shop Drawing Miscellaneous,"4,678.49"
1/10/2018,General,Design and Drafting,7075,"Shop Drawings Coordination, Builder Work","8,518.63"
1/10/2018,General,Design and Drafting,6500,Authority Submissions - Design,925.48
1/10/2018,General,Design and Drafting,6525,Design Coordination Work,0
1/10/2018,General,Design and Drafting,6550,Design Consultancy,0
